ID,Isi Berita,Label
1,"Timnas basket putra Indonesia gagal melaju ke perempatfinal Asian Games 2026. Pelatih David Singleton menyebut hasil tersebut sebagai kegagalan dan menegaskan evaluasi menyeluruh akan dilakukan.
Yudha Saputera dkk gagal meraih kemenangan dalam tiga pertandingan Grup A. Indonesia kalah telak dari Jepang 53-98, kemudian takluk 48-102 dari Korea Selatan, dan kembali menelan kekalahan saat menghadapi Arab Saudi dengan skor 89-100.
Hasil tersebut membuat Indonesia finis di posisi keempat Grup A dengan tiga poin dari tiga kekalahan. Tim Merah Putih pun harus mengakhiri kiprahnya lebih awal. Singleton secara terbuka mengakui hasil tersebut tidak sesuai dengan standar yang ditetapkan untuk tim nasional.
""Kami menilai hasil ini sebagai kegagalan. Kami yakin masih banyak potensi yang bisa kami tunjukkan, namun kami tidak mendapatkan proses adaptasi yang cukup cepat selama berada di Jepang,"" kata pelatih yang karib disapa Dave ini dikutip dari laman federasi.
Singleton menegaskan timnya tidak ingin mencari alasan atas hasil buruk tersebut. Menurutnya, Indonesia membutuhkan lebih banyak pengalaman bertanding dan waktu kebersamaan, terutama dalam persiapan menghadapi Asian Games.
""Kami tidak mencari-cari alasan. Itu poin utamanya. Jika harus menjawab berdasarkan fakta, kami sebenarnya membutuhkan lebih banyak pengalaman bertanding dan waktu kebersamaan, terutama bagi tim Asian Games. Kami baru benar-benar bangkit dan menunjukkan kemampuan terbaik kami pada pertandingan ketiga,"" jelasnya.
Meski gagal meraih kemenangan, Singleton menilai para pemain tetap menunjukkan perjuangan hingga pertandingan terakhir. ""Hal yang ingin saya tekankan adalah tim kami tetap tampil dan berjuang hingga akhir. Kami ingin masyarakat Indonesia tahu bahwa kami tidak akan pernah menyerah,"" ujarnya.
| Pelatih Timnas basket putra Indonesia David Singleton Foto: Dok. Perbasi | 
Namun, Singleton mengakui penampilan Indonesia belum mencerminkan kemampuan sebenarnya.
""Sayangnya, kami tidak bisa menunjukkan jati diri kami yang sesungguhnya hingga pertandingan terakhir melawan Arab Saudi. Ini bukanlah standar yang ingin kami tetapkan di level tim nasional,"" tegas Singleton.
Kegagalan di Asian Games 2026 pun menjadi bahan evaluasi besar bagi seluruh elemen tim. Evaluasi tidak hanya menyasar pelatih dan pemain, tetapi juga staf pendukung, aspek organisasi, hingga penjadwalan.
""Kami harus mengevaluasi segalanya. Federasi memiliki harapan agar kami meraih kemenangan dan tampil lebih baik. Oleh karena itu, mulai dari pelatih, pemain, staf pendukung, hingga aspek organisasi dan penjadwalan, semuanya akan dievaluasi dan diperbaiki,"" tuturnya.
Singleton juga menilai pembenahan tidak boleh berhenti di level tim senior. Pengembangan pemain dan pelatih dari level akar rumput dinilai penting untuk menyiapkan generasi berikutnya.
""Kami sebenarnya tidak jauh dari pencapaian hasil yang lebih baik, namun kami harus bergerak dalam hal pengembangan dan peningkatan, tidak hanya di level senior, tetapi juga di tingkat akar rumput (baik bagi pemain maupun pelatih), demi generasi mendatang.""
""Kami akan mencari berbagai cara untuk melakukan perbaikan, baik pada masa persiapan maupun selama kompetisi berlangsung,"" tegas Singleton.
(mcy/krs)",sport
2,"Perbasi merilis roster Timnas Basket 3x3 Putri Indonesia yang akan berlaga di Asian Games 2026. Empat pemain dipilih untuk membawa Merah Putih dalam ajang yang digelar di Jepang tersebut.
Keempat pemain itu adalah Jesslyne Jaya Wiyanto, Thasya Hery Saputera, Erlina Christiana, dan Diva Intan Nur Fadillah. Mereka akan berjuang di bawah asuhan Deny Sartika.
Deny optimistis dengan komposisi yang dimiliki Timnas Basket 3x3 Putri Indonesia. Ia menilai skuadnya memiliki perpaduan pemain big dan small yang dapat menjadi modal menghadapi persaingan di fase grup.
""Komposisi ini secara size ada dua pemain big dan dua small. Nana dan Thasya dengan pengalamannya bisa mengangkat tim dan nge-lead teman-temannya di pertandingan,"" kata Deny Sartika dalam keterangan tertulisnya, Selasa (15/9/2026).
""Kami dari coaching staff komit, game by game anak-anak bisa kasih improve yang bagus, keluarkan kemampuannya secara maksimal,"" ujarnya.
Indonesia tergabung di Pool D bersama Singapura, Thailand, dan Korea Selatan. Berdasarkan jadwal pertandingan yang dirilis panitia Asian Games 2026, Timnas Basket 3x3 Putri Indonesia akan menghadapi Singapura terlebih dahulu pada 21 September. Pada hari yang sama, Indonesia kemudian berhadapan dengan Korea Selatan.
Pertandingan terakhir di fase grup akan mempertemukan Indonesia dengan Thailand pada 23 September. Dari tiga lawan tersebut, Deny menilai Korea Selatan menjadi tim yang paling diunggulkan di Pool D.
""Melihat persaingan di Pool D, kita anggap poolnya yang menjadi unggulan secara hitung-hitungan ya Korea Selatan,"" jelas Deny.
Meski demikian, Deny memilih meminta para pemain fokus menghadapi pertandingan satu per satu. Ia ingin skuadnya mampu mengeluarkan kemampuan terbaik yang sudah dipersiapkan selama training center.
""Kami akan hadapi game lawan Singapura dan Thailand step by step. Kami mencoba mengeluarkan kemampuan terbaik yang kita kejar dan keluarkan apa yang telah latih selama persiapan training center.""
Timnas Basket 3x3 Putri Indonesia dijadwalkan bertolak ke Jepang pada 19 September. Deny berharap para pemain dapat tampil tanpa beban dan mendapat dukungan penuh dari masyarakat Indonesia.
""Semoga pemain tidak terbebani dan bisa mengeluarkan kemampuan terbaiknya lawan Thailand dan Singapura,"" kata Deny.
""Saya berharap dukungan dari masyarakat Indonesia dan insan basket di Tanah Air, semoga basket 3x3 putri bisa memberikan all out 100% di setiap game,"" ucapnya.",sport
3,"Nagoya - Nagoya terus bersiap menyambut Asian Games Aichi-Nagoya 2026. Sejumlah venue, hunian atlet, hingga pusat media dipersiapkan menjelang pembukaan 19 September.
Seorang anggota staf berjalan di dekat unit kontainer kayu yang dibangun untuk menampung para atlet, termasuk yang diperuntukkan bagi atlet Jepang dan Korea Selatan, menjelang Asian Games Aichi-Nagoya 2026, di Nagoya, Jepang, 15 September 2026. REUTERS/Edgar Su
Seorang pria berjalan di dekat kapal pesiar Italia Costa Serena, yang akan berfungsi sebagai tempat tinggal atlet sementara bagi 4.000 hingga 5.000 peserta selama Asian Games Aichi-Nagoya 2026, setelah kapal tersebut berlabuh di Pelabuhan Nagoya, Jepang, pada 15 September 2026. REUTERS/Edgar Su
Pemandangan Aichi International Arena di Nagoya menjelang Asian Games yang menjadi salah satu venue pertandingan nantinya. REUTERS/Edgar Su
Maskot Asian Games, Honohon, dipajang di dekat Menara Mirai milik Chubu Electric Power di Nagoya, Jepang, pada 14 September 2026. REUTERS/Edgar Su
Seorang petugas keamanan melintas di dekat papan tanda Asian Games di luar pusat media utama di Nagoya, Jepang, pada 14 September 2026. REUTERS/Edgar Su",sport
4,"Papua - Mimika Sport Complex menjadi tempat anak-anak menempa kemampuan sepakbola. Di sana, mereka berlatih, belajar, dan mengejar mimpi menjadi pesepakbola profesional
Mimika Sport Complex memiliki luas 12,5 hektare dengan berbagai sarana penunjang olahraga atletik dan sepakbola. Di dalamnya terdapat akademi sepakbola Papua Football Academy (PFA) yang merupakan akademi sepakbola milik PT Freeport Indonesia.
Papua Football Academy (PFA) adalah akademi sepakbola yang menempa generasi muda usia 12-15 tahun dari penjuru Papua untuk mewujudkan mimpi menjadi pemain sepakbola profesional.
PFA menjadi wadah pengembangan pesepakbola muda Papua, dengan memadukan latihan sepakbola, pendidikan formal, pembentukan karakter, nutrisi, psikologi, hingga aspek perlindungan anak.
Kepala Pelatih PFA, Ardiles Rumbiak, mengungkapkan PFA bukan sekadar sekolah sepakbola. PFA, kata dia, didirikan untuk membina karakter melalui sepakbola.
Mereka diajarkan teknik dasar seperti passing, scoring, hingga kelas analisis. Menurut Direktur Akademi PFA, Wolfgang Pikal, kehadiran PFA membantu meningkatkan kualitas pemain muda Papua meningkat.
Fasilitas lainnya untuk menunjang performa pemain adalah pusat kebugaran atau gymnasium.
Pemain yang cedera akan mendapatkan perawatan dari fisioterapis untuk membantu proses penyembuhan dan pemulihan agar bisa kembali merumput.
Mereka juga mendapatkan fasilitas pendidikan formal seperti komputer, Bahasa Inggris, matematika, hingga fisika.
Untuk pemain yang baru bergabung dan menjadi talenta termuda, mereka mendapatkan pembekalan mengenai keselamatan anak yang berpedoman pada standar FIFA.
PFA telah mengantarkan sejumlah pemain ke tim nasional kelompok muda. Salah satu pemain PFA disebut telah masuk timnas U-19, empat pemain ke timnas U-17, sementara tiga pemain mengikuti pemusatan latihan (Training Camp/TC) Tim Nasional Indonesia U-16 pada 12 September hingga 11 Oktober 2026 di Surakarta, Jawa Tengah.",sport
5,"Diego Simeone menjagokan Lionel Messi meraih Ballon d'Or 2026. Menurutnya performa La Pulga di Piala Dunia tak bisa dipandang sebelah mata.
Ballon d'Or 2026 telah merilis daftar 30 nominasi. Nama Lionel Messi masuk di antaranya.
Ini menjadi kali ke-17 Lionel Messi masuk nominasi Ballon d'Or. LM10 sudah meraih 8 gelar Si Bola Emas, paling banyak di antara pemain mana pun sepanjang sejarah.
Lionel Messi kini bersaing dengan nama-nama tenar seperti Kylian Mbappe, Lamine Yamal, dan Harry Kane dalam Ballon d'Or 2026. Pelatih Atletico Madrid Diego Simeone menilai Messi layak sekali apabila meraih penghargaan tersebut.
""Messi, tanpa ragu. Setelah Piala Dunia yang ia ikuti dan di usianya sekarang? Messi, tak diragukan lagi,"" kata Simeone, dilansir dari A Bola.
Lionel Messi memang tampil trengginas di Piala Dunia 2026. Dia mencetak 8 gol, berada di peringkat kedua top skor turnamen di bawah Mbappe (10 gol).
Timnas Argentina juga dibawa Messi hingga ke final Piala Dunia 2026. Tim Tango harus puas meraih medali perak setelah dikalahkan Spanyol dalam babak perpanjangan.
🚨🚨🎙️| Diego Simeone on the Ballon d'Or: 
""Ballon d'Or? Messi, without a doubt. After the World Cup he had, and at his age? Messi, without a doubt."" 🐐 pic.twitter.com/hXMdHIF1id
Di level klub Messi juga mentereng. Pemain berusia 39 tahun ini mengantarkan Inter Miami meraih titel MLS 2025.
Messi menyabet top skor MLS dengan 29 gol. Dia juga meraih gelar MVP untuk kedua kalinya secara beruntun, satu-satunya pemain dalam sejarah MLS yang memenangkan 2 gelar MVP berturut-turut.
(bay/mrp)",sport
6,"Marc Marquez kembali menjadi yang tercepat di MotoGP San Marino 2026. Rider Ducati Lenovo Team itu memenangi balapan di Sirkuit Misano, Minggu (13/9).
Kemenangan ini didapat usai insiden yang menimpa Marco Bezzecchi. Bezzecchi yang start dari pole position harus mengakhiri balapannya lebih awal setelah terjatuh di Tikungan 13 pada lap pertama.
Insiden tersebut membuka jalan bagi Marc untuk mengambil alih posisi terdepan. Ia pun terus memimpin balapan hingga garis finis tanpa terkejar rider lain.
| MotoGP San Marino Selesai, Ini Nama Pemenang Bold Riders Podium Picks Foto: Bold Riders | 
Alex Marquez dari BK8 Gresini Racing MotoGP tampil solid dan finis di posisi kedua. Podium ketiga ditempati Pedro Acosta dari Red Bull KTM Factory Racing.
Tebakan Podium Terjawab
Keseruan di San Marino tidak hanya terjadi di lintasan. Para penggemar MotoGP sebelumnya juga ikut menguji insting mereka lewat Bold Riders Podium Picks.image.png
| MotoGP San Marino Selesai, Ini Nama Pemenang Bold Riders Podium Picks Foto: Bold Riders | 
Dalam kompetisi ini, peserta menebak tiga rider yang akan finis di posisi pertama, kedua, dan ketiga. Setelah race selesai dan seluruh prediksi diperiksa, dua detikers berhasil mengumpulkan poin tertinggi.
Mereka adalah:
Vita Mayawati
Khoirul Anam
Keduanya berhak mendapatkan voucher masing-masing senilai Rp 250 ribu. Selamat untuk Vita Mayawati dan Khoirul Anam yang berhasil membaca peluang podium di San Marino.
Buat detikers yang belum berhasil, masih ada seri MotoGP berikutnya untuk kembali menguji insting. Siapa tahu, tebakan berikutnya justru membawa pulang hadiah.
Buat kamu yang belum gabung, sekarang waktunya follow Bold Riders, official sponsor Gresini Racing MotoGP team sekaligus wadah komunitas motor multi-genre terbesar di Indonesia.
Di sini kamu bisa ketemu sesama pecinta motor, riding bareng, sampai ikut berbagai aktivitas seru. Jangan lupa follow Instagram @boldriders supaya nggak ketinggalan update MotoGP, konten otomotif, dan info event motor lainnya.
Bold Riders, Spirit of Brotherhood!
(ega/ega)",sport
7,"Marc Marquez memimpin persaingan MotoGP 2026 setelah sempat jauh tertinggal. Marquez mengakui, dirinya mendapatkan keuntungan dari rival-rivalnya.
Pebalap Ducati itu tak sekalipun memenangi balapan grand prix di tujuh seri pertama musim ini, bahkan empat kali gagal mendulang angka. Sementara itu duo Aprilia Marco Bezzecchi dan Jorge Martin tokcer sehingga mendominasi dua posisi teratas klasemen.
Finis ketujuh di Mugello menempatkan Marc Marquez tercecer 102 poin dari pemimpin kejuaraan. Namun, setelahnya juara dunia sembilan kali itu pelan-pelan melesat.
Marquez tampil sebagai juara di Hungaria, Ceko, Jerman, Aragon, dan San Marino. Empat di antaranya termasuk balapan akhir pekan lalu di Misano berhasil disapu bersih Marquez. Di sisi lain, baik Martin dan Bezzecchi justru memudar usai sama sekali gagal memenangi satupun balapan grand prix.
Alhasil, Marc Marquez kini memuncaki klasemen MotoGP dengan 274 poin. Marquez dibayangi Jorge Martin dengan perolehan poin yang sama tapi unggul jumlah kemenangan, sedangkan Bezzecchi ketiga dengan selisih 33 poin.
| Baca juga: Karena Jorge Martin Kehilangan Kendali | 
Marquez mengungkapkan, performa menurun rival-rivalnya jadi kado manis buatnya dalam persaingan MotoGP 2026.
""Aku tadinya siap balapan [di Mugello], dengan kondisi tidak 100%, tapi itu sekaligus juga cara untuk mempersiapkan -- jika Anda ingin memiliki kesempatan untuk memenangi balapan,"" sahut pebalap berusia 33 tahun ini di Crash.
""Saat itu aku enggak memikirkan tentang kejuaraan karena itu tidak tergantung kepadaku. Memang benar bahwa para rival memberiku sebuah hadiah, dan ketika aku merasakan hadiah itu, rasanya manis. Jadi aku sedang berusaha memaksimalkan keuntunganku dari gaya balapku, dari motorku, dan dari timku,"" Marc Marquez menambahkan.
(rin/aff)",sport
8,"Tak bisa dipungkiri bahwa Ducati masih jadi tolok ukur di MotoGP. Lantas, mengapa Fabio Quartararo tak mencoba bergabung dengan tim yang bernaung di Ducati?
El Diablo akan mengakhiri kerja samanya selama delapan tahun dengan Yamaha pada akhir MotoGP 2026. Quartararo telah mengumumkan akan memperkuat Honda pabrikan mulai musim depan.
Kesulitan Yamaha di empat musim terakhir jadi latar belakangnya. Quartararo belum lagi memenangi balapan sejak jadi kampiun di Sachsenring pada 2022 alias empat tahun lalu. Semakin mengecewakan karena Quartararo hanya sekali naik podium (P2) dalam 61 seri terakhir.
Di tengah Yamaha yang jeblok, Ducati justru mendominasi. Para penunggang Desmosedici menyapu bersih empat musim terakhir dengan titel-titel juara dunia yang diraih Francesco Bagnaia (2), Jorge Martin, dan Marc Marquez.
Enam pebalap telah dipastikan akan menunggangi motor Ducati pada 2027. Ducati pabrikan mengandalkan duet Marquez dan Pedro Acosta, sedangkan tim-tim satelit seperti Gresini dan VR46 menandemkan Joan Mir dan Daniel Holgado serta Fermin Adelguer dan Nicolo Bulega berturut-turut.
| Baca juga: Bezzecchi Jatuh Bukan karena Rasakan Tekanan | 
Fabio Quartararo menjelaskan alasannya memilih Honda sekaligus tak mencoba mendapatkan kursi pebalap di tim Ducati. ""Karena kupikir Honda, selama beberapa tahun sampai sekarang, telah menjalani periode di mana mereka ingin juara lagi,"" ujar rider Prancis ini.
""Honda mengerahkan seluruh sumber daya yang mereka punya untuk comeback. Dengan perubahan regulasi, motor-motor baru, dan ban baru, kurasa Honda bisa membuat kejutan dan memproduksi sebuah motor yang sangat kompetitif.""
""Kami pernah bertemu dengan beberapa pabrikan, termasuk Honda. Di pertemuan-pertemuan itu, aku punya banyak sekali pertanyaan, dan tidak hanya menjawab pertanyaan-pertanyaanku, mereka menunjukkan kepadaku banyak hal tentang proyek mereka yang membuatku memutuskan untuk bergabung,"" Quartararo mengatakan kepada Motorsport.
(rin/rin)",sport
9,"MotoGP 2026 berlanjut ke Austria akhir pekan ini. Red Bull Ring menjadi arena seri ke-15 musim ini, dengan persaingan perebutan posisi teratas klasemen yang semakin panas setelah Marc Marquez merebut puncak klasemen MotoGP dari Jorge Martin walaupun kedua rider punya poin yang sama.
Marquez untuk pertama kalinya memimpin klasemen MotoGP musim ini setelah meraih kemenangan ganda di Misano, ditambah hasil Jorge Martin yang finis kelima. Hasil itu membuat persaingan klasemen makin sengit dengan kedua rider kini memiliki jumlah poin: 274.
Namun, Marquez berhak berada di posisi teratas karena memiliki jumlah kemenangan balapan utama lebih banyak. Marquez sudah mengoleksi lima kemenangan Grand Prix musim ini, sedangkan Martin baru meraih satu kemenangan.
Martin sebelumnya memimpin klasemen sejak seri Assen. Kini, juara bertahan MotoGP tersebut harus mempertahankan posisinya saat persaingan berlanjut di Red Bull Ring.
GP Austria menjadi balapan kedua secara beruntun di Eropa setelah seri San Marino. Rangkaian MotoGP 2026 kemudian berlanjut ke Jepang sebelum Indonesia menjadi tuan rumah di Mandalika pada Oktober.
Selain persaingan Marquez dan Martin, akhir pekan di Austria juga akan dimulai dengan rangkaian sesi latihan, kualifikasi, Sprint Race, hingga balapan utama.
Jadwal MotoGP Austria 2026
Jumat, 18 September 2026
 14.00 WIB - Moto3 FP1
 14.50 WIB - Moto2 FP1
 15.45 WIB - MotoGP FP1
 18.15 WIB - Moto3 Practice
 19.05 WIB - Moto2 Practice
 20.00 WIB - MotoGP Practice
Sabtu, 19 September 2026
 13.40 WIB - Moto3 FP2
 14.25 WIB - Moto2 FP2
 15.10 WIB - MotoGP FP2
 15.50 WIB - Kualifikasi MotoGP
 17.45 WIB - Kualifikasi Moto3
 18.40 WIB - Kualifikasi Moto2
 20.00 WIB - MotoGP Sprint
Minggu, 20 September 2026
 14.40 WIB - MotoGP Warm Up
 16.00 WIB - Moto3 Race
 17.15 WIB - Moto2 Race
 19.00 WIB - MotoGP Race",sport
10,"Tim bulutangkis Indonesia terus mematangkan persiapan menuju Asian Games Aichi-Nagoya 2026. Memasuki hari kedua pemusatan latihan di Tokyo, skuad Merah Putih mendapat variasi permainan lewat latih tanding dengan klub Jepang, NTT East Badminton Club.
Latih tanding tersebut digelar Selasa (15/9/2026). Para pemain ganda putra dan putri Indonesia mendapat kesempatan menghadapi pasangan Jepang untuk menambah pengalaman sebelum terjun di Asian Games.
Pelatih Kepala Ganda Putra Indonesia, Antonius Budi Ariantho, menilai latih tanding dengan klub Jepang memberikan manfaat penting. Menurutnya, para pemain bisa menghadapi pola permainan berbeda dibandingkan saat berlatih dengan rekan sendiri.
""Dengan sparing bersama klub dari Jepang saya rasa sangat positif. Kami mendapat variasi pola main dari lawan yang berbeda. Kalau dengan tim sendiri kan sudah sehari-hari ya,"" kata Antonius Budi Ariantho dalam keterangannya.
""Manfaatnya nanti bisa dirasakan saat pertandingan, sudah lebih banyak dan siap dengan pola yang berbeda-beda,"" lanjutnya.
Anton juga menyebut persiapan sektor ganda putra sudah matang. Lima pemain yang ada di skuad terus dibiasakan bermain dengan pasangan berbeda selama persiapan di Indonesia.
""Dari sejak di Indonesia sudah dibiasakan, lima pemain ini kami putar dengan pasangan yang berbeda. Saya rasa persiapan sudah matang banget ya, tinggal lihat nanti ketemu siapa, kebutuhannya bagaimana,"" Anton mengungkapkan.
Hal serupa dirasakan ganda putri Rachel Allessya Rose/Febi Setianingrum. Bagi mereka, kesempatan berlatih tanding dengan ganda putri Jepang membuat suasana latihan lebih segar sekaligus memberikan pengalaman menghadapi karakter permainan yang berbeda.
""Seru tadi bisa latih tanding dengan ganda-ganda Jepang. Biasanya jadi lawan tapi hari ini bisa latihan bersama. Positif sekali hawanya dan ada suasana baru,"" kata Rachel.
Febi menilai karakter permainan ganda Jepang juga bisa menjadi modal tambahan bagi dirinya dan Rachel sebelum tampil di Asian Games.
""Ganda Jepang terkenal ulet dan tenaganya cukup kencang, tadi juga ada Hinata Suzuki/Nao Yamakita yang sudah sering ikut World Tour Series. Ini jadi tambahan modal kami ke Asian Games nanti,"" Febi menimpali.
Asian Games Aichi-Nagoya 2026 akan dibuka pada 19 September. Cabang bulutangkis kemudian dipertandingkan pada 20-24 September untuk nomor beregu dan 25-29 September untuk nomor perorangan.
Bagi Rachel/Febi, Asian Games kali ini menjadi panggung debut mereka. Keduanya ingin menjadikan hasil di Kejuaraan Dunia sebagai bahan evaluasi untuk tampil lebih baik di Jepang.
""Hasil dari Kejuaraan Dunia jadi evaluasi bagi kami. Di sini kami harus lebih maksimal, tidak mau kalahnya ditingkatkan lagi. Senang bisa dipercaya main Asian Games,"" ucap Febi yang diamini Rachel.
Dengan persiapan yang semakin dekat ke hari pertandingan, latih tanding melawan klub Jepang menjadi kesempatan bagi para pemain Indonesia untuk memperkaya variasi permainan sebelum menghadapi persaingan di Asian Games 2026.",sport
